ID_Produk,Bulan,Produk_Variasi,Stok_Awal,Total_Jumlah,Stok_Akhir,Pending,Stok_Status
31,2023-06,Handuk Renang Anak Merk Little Palmerhaus - Motif Girl,7,1,6,0,Kurang Optimal
11,2023-06,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",88,2,86,0,Overstock
20,2023-06,"Kartu Ucapan Kado Bayi - Kertas Kado, Girl",1,1,0,0,Optimal
14,2023-06,Softbook Edukasi Bayi Motif Hewan - Motif Doggie,35,1,34,0,Overstock
32,2023-06,Softbook Mandi Bayi Motif Hewan Import - Motif Dino,1,1,0,0,Optimal
4,2023-07,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran L",8,12,0,4,Understock
5,2023-07,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran M",104,23,81,0,Overstock
6,2023-07,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran XL",6,10,0,4,Understock
7,2023-07,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran L",27,12,15,0,Kurang Optimal
8,2023-07,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran M",31,7,24,0,Overstock
19,2023-07,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran XL",1,2,0,1,Understock
9,2023-07,Handuk Renang Anak Hoodie Ponco - Tidak ada variasi,58,3,55,0,Overstock
13,2023-07,Kertas Kado Bayi - Tidak ada variasi,99,1,98,0,Overstock
4,2023-08,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran L",12,15,0,3,Understock
5,2023-08,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran M",17,9,8,0,Kurang Optimal
6,2023-08,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran XL",19,6,13,0,Kurang Optimal
7,2023-08,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran L",7,8,0,1,Understock
8,2023-08,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran M",16,16,0,0,Optimal
33,2023-08,Kursi Goyang Bayi 10in1 Merk Sugar Baby - Warna Krem,1,1,0,0,Optimal
34,2023-09,"8in1 Gift Parcel Bayi Import - Motif Kelinci, Usia 6–9 Bulan",1,2,0,1,Understock
4,2023-09,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran L",36,25,11,0,Kurang Optimal
5,2023-09,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran M",20,19,1,0,Kurang Optimal
6,2023-09,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran XL",34,10,24,0,Overstock
7,2023-09,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran L",13,16,0,3,Understock
8,2023-09,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran M",20,25,0,5,Understock
19,2023-09,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran XL",13,8,5,0,Kurang Optimal
11,2023-09,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",74,2,72,0,Overstock
13,2023-09,Kertas Kado Bayi - Tidak ada variasi,2,2,0,0,Optimal
35,2023-09,Piano Playmat Merk Sugar Baby - Warna Pink,24,1,23,0,Overstock
36,2023-09,Toilet Training Seat Merk Sugar Baby - Warna Abu,76,1,75,0,Overstock
15,2023-09,Toilet Training Seat Merk Sugar Baby - Warna Biru,1,1,0,0,Optimal
18,2023-10,Baju Renang Anak Premium Motif Karakter - Tidak ada variasi,8,2,6,0,Kurang Optimal
37,2023-10,"Bando, Bandana, dan Kaos Kaki Bayi Motif Bunga - Tidak ada variasi",39,1,38,0,Overstock
4,2023-10,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran L",14,26,0,12,Understock
5,2023-10,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran M",34,17,17,0,Kurang Optimal
6,2023-10,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran XL",6,9,0,3,Understock
7,2023-10,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran L",63,18,45,0,Overstock
8,2023-10,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran M",9,9,0,0,Optimal
19,2023-10,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran XL",22,13,9,0,Kurang Optimal
9,2023-10,Handuk Renang Anak Hoodie Ponco - Tidak ada variasi,1,1,0,0,Optimal
11,2023-10,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",1,1,0,0,Optimal
20,2023-10,"Kartu Ucapan Kado Bayi - Kertas Kado, Girl",26,1,25,0,Overstock
38,2023-10,Mainan Rattle Gantung Motif Animal - Tidak ada variasi,37,1,36,0,Overstock
39,2023-10,Piano Playmat Proyektor Merk Sugar Baby - Warna Pink,6,1,5,0,Kurang Optimal
32,2023-10,Softbook Mandi Bayi Motif Hewan Import - Motif Dino,1,1,0,0,Optimal
28,2023-10,Tas Stroller Organizer Bayi - Tidak ada variasi,100,1,99,0,Overstock
