ID_Produk,Bulan,Produk_Variasi,Stok_Awal,Total_Jumlah,Stok_Akhir,Pending,Stok_Status
96,2024-08,"8in1 Gift Parcel Bayi Import - Motif Zebra Pink, Usia 6–9 Bulan",21,1,20,0,Kurang Optimal
97,2024-08,"8in1 Gift Parcel Bayi Import - Usia 3–6 Bulan, Boy",78,1,77,0,Overstock
98,2024-08,Baby Walker Minicar Merk Sugar Baby - Warna Biru,72,1,71,0,Overstock
56,2024-08,"Baju Renang Anak Premium Motif Karakter - Ukuran L, Boy",8,1,7,0,Kurang Optimal
57,2024-08,"Baju Renang Anak Premium Motif Karakter - Ukuran M, Boy",7,1,6,0,Kurang Optimal
58,2024-08,"Baju Renang Anak Premium Motif Karakter - Ukuran M, Girl",1,1,0,0,Optimal
48,2024-08,"Baju Renang Anak Premium Motif Karakter - Ukuran S, Boy",17,1,16,0,Kurang Optimal
94,2024-08,"Baju Renang Anak Premium Motif Karakter - Ukuran S, Girl",9,1,8,0,Kurang Optimal
82,2024-08,"Diapers Renang Anak Merk Ocheers - Warna Biru, Ukuran M",62,2,60,0,Overstock
83,2024-08,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran L",4,5,0,1,Understock
84,2024-08,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran M",24,5,19,0,Kurang Optimal
85,2024-08,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran XL",81,7,74,0,Overstock
91,2024-08,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran L",40,21,19,0,Kurang Optimal
95,2024-08,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran M",38,13,25,0,Overstock
86,2024-08,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran XL",115,44,71,0,Overstock
11,2024-08,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",1,1,0,0,Optimal
20,2024-08,"Kartu Ucapan Kado Bayi - Kertas Kado, Girl",1,3,0,2,Understock
13,2024-08,Kertas Kado Bayi - Tidak ada variasi,24,4,20,0,Kurang Optimal
59,2024-08,Kursi Mandi Bayi Lipat Merk Sugar Baby - Warna Pink,97,1,96,0,Overstock
35,2024-08,Piano Playmat Merk Sugar Baby - Warna Pink,1,1,0,0,Optimal
99,2024-08,"Piano Playmat Merk Sugar Baby - Warna Pink, Pianist Series",16,1,15,0,Kurang Optimal
100,2024-08,Piano Playmat Proyektor Merk Sugar Baby - Warna Biru,90,1,89,0,Overstock
101,2024-09,"8in1 Gift Parcel Bayi Import - Motif Sheep, Usia 0–3 Bulan",11,1,10,0,Kurang Optimal
98,2024-09,Baby Walker Minicar Merk Sugar Baby - Warna Biru,9,1,8,0,Kurang Optimal
73,2024-09,Baby Walker Minicar Merk Sugar Baby - Warna Pink,86,1,85,0,Overstock
79,2024-09,"Baju Renang Anak Premium Motif Karakter - Ukuran L, Girl",1,1,0,0,Optimal
57,2024-09,"Baju Renang Anak Premium Motif Karakter - Ukuran M, Boy",5,1,4,0,Kurang Optimal
58,2024-09,"Baju Renang Anak Premium Motif Karakter - Ukuran M, Girl",7,1,6,0,Kurang Optimal
48,2024-09,"Baju Renang Anak Premium Motif Karakter - Ukuran S, Boy",1,1,0,0,Optimal
102,2024-09,"Baju Renang Anak Premium Motif Karakter - Ukuran XL, Boy",1,1,0,0,Optimal
103,2024-09,"Baju Renang Anak Premium Motif Karakter - Ukuran XL, Girl",77,1,76,0,Overstock
83,2024-09,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran L",4,6,0,2,Understock
85,2024-09,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran XL",32,9,23,0,Overstock
91,2024-09,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran L",45,26,19,0,Kurang Optimal
95,2024-09,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran M",15,19,0,4,Understock
86,2024-09,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran XL",74,53,21,0,Overstock
10,2024-09,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Boy",36,3,33,0,Overstock
11,2024-09,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",1,2,0,1,Understock
12,2024-09,"Kartu Ucapan Kado Bayi - Kertas Kado, Boy",25,5,20,0,Kurang Optimal
20,2024-09,"Kartu Ucapan Kado Bayi - Kertas Kado, Girl",83,4,79,0,Overstock
13,2024-09,Kertas Kado Bayi - Tidak ada variasi,11,1,10,0,Kurang Optimal
104,2024-09,Kursi Makan Lipat Anak Merk Sugar Baby - Warna Biru Tua,16,1,15,0,Kurang Optimal
105,2024-09,Mainan Rattle Tabung Motif Animal - Model C,1,1,0,0,Optimal
55,2024-09,Piano Playmat Merk Sugar Baby - Warna Biru,44,2,42,0,Overstock
35,2024-09,Piano Playmat Merk Sugar Baby - Warna Pink,1,2,0,1,Understock
15,2024-09,Toilet Training Seat Merk Sugar Baby - Warna Biru,11,1,10,0,Kurang Optimal
16,2024-09,Toilet Training Seat Merk Sugar Baby - Warna Pink,2,1,1,0,Kurang Optimal
106,2024-10,"8in1 Gift Parcel Bayi Import - Motif Bunga, Usia 0–3 Bulan",1,1,0,0,Optimal
107,2024-10,"8in1 Gift Parcel Bayi Import - Motif Tuxedo, Usia 0–3 Bulan",90,1,89,0,Overstock
108,2024-10,"8in1 Gift Parcel Bayi Import - Motif Tuxedo, Usia 6–9 Bulan",9,2,7,0,Kurang Optimal
109,2024-10,"8in1 Gift Parcel Bayi Import - Motif Zebra Pink, Usia 0–3 Bulan",14,1,13,0,Kurang Optimal
56,2024-10,"Baju Renang Anak Premium Motif Karakter - Ukuran L, Boy",81,1,80,0,Overstock
48,2024-10,"Baju Renang Anak Premium Motif Karakter - Ukuran S, Boy",1,1,0,0,Optimal
110,2024-10,"Baju Renang Anak Premium Motif Karakter - XXL,Girl",13,2,11,0,Kurang Optimal
111,2024-10,Bak Mandi Lipat Merk Sugar Baby - Warna Biru,1,2,0,1,Understock
112,2024-10,Celana Renang Anak Motif Dino - Ukuran L,2,3,0,1,Understock
113,2024-10,Celana Renang Anak Motif Dino - Ukuran M,46,3,43,0,Overstock
114,2024-10,Celana Renang Anak Motif Dino - Ukuran XL,20,2,18,0,Kurang Optimal
83,2024-10,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran L",17,17,0,0,Optimal
84,2024-10,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran M",38,8,30,0,Overstock
85,2024-10,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran XL",16,11,5,0,Kurang Optimal
91,2024-10,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran L",40,36,4,0,Kurang Optimal
95,2024-10,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran M",25,16,9,0,Kurang Optimal
86,2024-10,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran XL",144,54,90,0,Overstock
11,2024-10,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",19,2,17,0,Kurang Optimal
13,2024-10,Kertas Kado Bayi - Tidak ada variasi,2,2,0,0,Optimal
115,2024-10,Kursi Goyang Bayi 10in1 Merk Sugar Baby - Motif Lovely Day,94,1,93,0,Overstock
116,2024-10,Kursi Lipat Traveling Bayi Merk Sugar Baby  - Warna Pink,1,1,0,0,Optimal
117,2024-10,Kursi Makan Lipat Anak Merk Sugar Baby - Warna Krem,1,1,0,0,Optimal
89,2024-10,Kursi Makan Lipat Anak Merk Sugar Baby - Warna Pink,1,1,0,0,Optimal
55,2024-10,Piano Playmat Merk Sugar Baby - Warna Biru,69,3,66,0,Overstock
35,2024-10,Piano Playmat Merk Sugar Baby - Warna Pink,2,2,0,0,Optimal
99,2024-10,"Piano Playmat Merk Sugar Baby - Warna Pink, Pianist Series",8,1,7,0,Kurang Optimal
36,2024-10,Toilet Training Seat Merk Sugar Baby - Warna Abu,1,1,0,0,Optimal
118,2024-11,"8in1 Gift Parcel Bayi Import - Motif Bulan, Usia 6–9 Bulan",5,1,4,0,Kurang Optimal
119,2024-11,"8in1 Gift Parcel Bayi Import - Warna Kuning, Usia 6–9 Bulan",50,1,49,0,Overstock
98,2024-11,Baby Walker Minicar Merk Sugar Baby - Warna Biru,69,2,67,0,Overstock
120,2024-11,Bak Mandi Lipat Merk Sugar Baby - Warna Pink Peach,4,2,2,0,Kurang Optimal
113,2024-11,Celana Renang Anak Motif Dino - Ukuran M,9,1,8,0,Kurang Optimal
83,2024-11,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran L",36,3,33,0,Overstock
84,2024-11,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran M",94,6,88,0,Overstock
85,2024-11,"Diapers Renang Anak Merk Ocheers - Warna Pink, Ukuran XL",75,1,74,0,Overstock
91,2024-11,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran L",110,11,99,0,Overstock
95,2024-11,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran M",67,2,65,0,Overstock
86,2024-11,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran XL",5,9,0,4,Understock
11,2024-11,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",88,1,87,0,Overstock
13,2024-11,Kertas Kado Bayi - Tidak ada variasi,54,3,51,0,Overstock
121,2024-11,Kursi Mandi Bayi Lipat Merk Sugar Baby - Warna Peach,1,1,0,0,Optimal
35,2024-11,Piano Playmat Merk Sugar Baby - Warna Pink,1,1,0,0,Optimal
100,2024-11,Piano Playmat Proyektor Merk Sugar Baby - Warna Biru,9,1,8,0,Kurang Optimal
122,2024-11,Piano Playmat Proyektor Merk Sugar Baby - Warna Hijau,17,1,16,0,Kurang Optimal
123,2024-12,"8in1 Gift Parcel Bayi Import - Motif Dino Biru, Usia 0–3 Bulan",1,1,0,0,Optimal
75,2024-12,"8in1 Gift Parcel Bayi Import - Motif Mobil Balap Biru, Usia 0–3 Bulan",15,1,14,0,Kurang Optimal
114,2024-12,Celana Renang Anak Motif Dino - Ukuran XL,1,1,0,0,Optimal
91,2024-12,"Diapers Renang Anak Merk Ocheers - Warna Putih, Ukuran L",5,6,0,1,Understock
10,2024-12,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Boy",39,1,38,0,Overstock
13,2024-12,Kertas Kado Bayi - Tidak ada variasi,11,1,10,0,Kurang Optimal
124,2024-12,Kursi Makan Lipat Anak Merk Sugar Baby - Warna Biru Muda,1,1,0,0,Optimal
125,2024-12,Piano Playmat Merk Sugar Baby - Warna Grey,3,1,2,0,Kurang Optimal
